balcony	n.	(阳台,(戏院的)楼座) platform projecting from the wall of a building
bald	a. Syn. hairless	(秃头的,光秃的) hairless; lacking a natural or usual covering
ballet	n.	(芭蕾舞) a sort of theatrical representation by dancers
balloon	n.	(热气球,轻气球,玩具气球) large non-rigid bag filled with gas or heated air
ballroom	n.	(大舞厅) large room used mainly for dancing
bamboo	n.	(竹,竹茎) plant of the family of grasses, and genus Bambusa, growing in tropical countries
band	n. Syn. orchestra; team	(乐队,队) orchestra; team; strip; ribbon; belt; unite; ally
bandage	n.	(绷带,用绷带包扎) strip of woven material, used in dressing and binding up wounds
bang	n.	(发出砰的一声,重击) a vigorous blow; a conspicuous success
banker	n.	(银行家) person in charge of the bank in a gambling game; one who owns or is an executive in a bank
bankrupt	a.	(破产了的) penniless, without any money; financially ruined
banner	n. Syn. flag; sign	(旗帜,标语,横幅) flag; sign; a newspaper headline that runs across the full page
banquet	n. Syn. feast	(宴会,出席宴会,参加宴会) feast; entertainment of eating and drinking
bar	n. Syn. caf‚	(吧,酒吧) a counter where you can obtain food or drink; cafe; strip; stick
barber	n. Syn. haircutter; shaver	(理发师) haircutter; one whose business is to cut hair and to shave or trim beards
bare	a. Syn. naked; nude	(无遮蔽的,赤裸的,光(秃)的) lacking the usual or appropriate covering or clothing
barely	ad. Syn. just; only	(仅仅) just; only; hardly; scarcely
bargain	n.	(交易,合同交易,协议讲价,谈条件) agreement between parties concerning the sale of property
barge	n. Syn. flatboat	(驳船) flatboat; long, large boat for transporting freight that is unpowered and towed or pushed by other craft
bark	n. Syn. yelp; howl	(树皮,狗叫) sound made by a dog; harsh sound uttered by a dog
barn	n.	(谷仓,畜棚) an outlying farm building for storing grain or animal feed and housing farm animals
barometer	n.	(气压计,晴雨表) instrument for determining the weight or pressure of the atmosphere
baron	n.	(男爵,大财主,大老板) title or degree of nobility
barrel	n. Syn. vessel	(桶) vessel; large cylindrical container
barren	a. Syn. desolate	(荒芜的,贫瘠的) desolate; fruitless and unproductive; lacking
barrier	n. Syn. obstacle; hindrance; hurdle	(屏障,障碍,栅栏) obstacle; structure built to bar passage; boundary or limit
barter	v. Syn. trade; exchange	(物品交换,易货贸易) trade goods or services without the exchange of money
baseball	n.	(棒球运动) game played with a bat and ball by two opposing teams of nine players; ball used in this game
basement	n. Syn. cellar	(地下室) cellar; storage room
basin	n.	(盆,盆地) bowl-shaped vessel, usually used for holding food or liquids
bathe	v. Syn. lave; immerse	(游泳,浸,洗,笼罩) wash by immersion, as in a bath; subject to bath; lave; immerse or cover one's self
batter	v.	(接连重击,敲碎,用坏,奶油面糊) beat with successive blows; beat repeatedly and with violence
battery	n.	(电池,殴打) beating or pounding; set of guns or heavy artillery; dry cell that produces electric current
bay	n.	(海湾) inlet of the sea, usually smaller than a gulf; small body of water set off from the main body
bazaar	n.	(集市,商店集中区) market consisting of a street lined with shops and stalls, especially one in the Middle East
bead	n. Syn. pearl; drops; droplet	(珠子,(液体)小滴) small piece of material, such as glass, plastic, or wood, that is pierced for stringing
beak	n. Syn. nib	(鸟喙) nib ;horny projecting mouth of a bird
